Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that group members are showing in selected group,ELE-111,10116,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 11:05 AM,08/Sep/21 12:36 PM,08/Sep/21 11:31 AM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000n3:,,ELE Sprint 1,,,,,,,,Done
Verify that User is able to see own registered group,ELE-110,10115,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:58 AM,08/Sep/21 12:37 PM,08/Sep/21 11:26 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000mv:,,ELE Sprint 1,,,,,,,,Done
Verify that user is able to register and unregister 'group',ELE-109,10114,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:56 AM,08/Sep/21 12:37 PM,08/Sep/21 11:23 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000mn:,,ELE Sprint 1,,,,,,,,Done
Verify that group tutor in 'group' showing correct information,ELE-108,10113,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:55 AM,08/Sep/21 12:37 PM,08/Sep/21 11:18 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000mf:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Groups' are showing correct  groups name,ELE-107,10112,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:54 AM,08/Sep/21 12:37 PM,08/Sep/21 11:16 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000m7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Groups' link directs to correct page,ELE-106,10111,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:51 AM,08/Sep/21 12:37 PM,08/Sep/21 11:13 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000lz:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Groups' logo is appearing properly ,ELE-105,10110,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,08/Sep/21 10:50 AM,08/Sep/21 12:38 PM,08/Sep/21 11:08 AM,08/Sep/21 12:38 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-10,,,,,,,,{},,,,,,,0|i000lr:,,ELE Sprint 1,,,,,,,,Done
Verify the 'Anonymous' is in the 'Surveys',ELE-104,10109,Test,Blocked,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 3:45 PM,08/Sep/21 3:08 PM,08/Sep/21 10:27 AM,,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lj:,,ELE Sprint 1,,,,,,,,In Progress
Verify the 'Survey Name' is in the 'Surveys',ELE-103,10108,Test,Blocked,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 3:38 PM,08/Sep/21 3:03 PM,08/Sep/21 3:06 PM,,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lb:,,ELE Sprint 1,,,,,,,,In Progress
Verify that project details is able to open or not,ELE-102,10107,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:56 PM,08/Sep/21 12:39 PM,08/Sep/21 11:09 AM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-18,,,,,,,,{},,,,,,,0|i000l3:,,ELE Sprint 1,,,,,,,,Done
